text,url,table_index,link_type
"Asia Cup (Bangladesh, India, Sri Lanka in India), 1990/91",https://www.espncricinfo.com/series/asia-cup-1990-91-60913/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series (Australia, England, New Zealand in Australia), 1990/91",https://www.espncricinfo.com/series/benson-hedges-world-series-1990-91-60910/match-schedule-fixtures-and-results,1,series
"Sri Lanka in New Zealand ODI Series, 1990/91",https://www.espncricinfo.com/series/sri-lanka-in-new-zealand-odi-series-1990-91-60914/match-schedule-fixtures-and-results,1,series
"England in New Zealand ODI Series, 1990/91",https://www.espncricinfo.com/series/england-in-new-zealand-odi-series-1990-91-60915/match-schedule-fixtures-and-results,1,series
"Australia in West Indies ODI Series, 1990/91",https://www.espncricinfo.com/series/australia-in-west-indies-odi-series-1990-91-60916/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (West Indies in England), 1991",https://www.espncricinfo.com/series/texaco-trophy-1991-60917/match-schedule-fixtures-and-results,1,series
"Wills Trophy (India, Pakistan, West Indies in United Arab Emirates), 1991/92",https://www.espncricinfo.com/series/wills-trophy-1991-92-60918/match-schedule-fixtures-and-results,1,series
"South Africa in India ODI Series, 1991/92",https://www.espncricinfo.com/series/south-africa-in-india-odi-series-1991-92-60919/match-schedule-fixtures-and-results,1,series
"West Indies in Pakistan ODI Series, 1991/92",https://www.espncricinfo.com/series/west-indies-in-pakistan-odi-series-1991-92-60920/match-schedule-fixtures-and-results,1,series
"Sri Lanka in Pakistan ODI Series, 1991/92",https://www.espncricinfo.com/series/sri-lanka-in-pakistan-odi-series-1991-92-60922/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series (Australia, India, West Indies in Australia), 1991/92",https://www.espncricinfo.com/series/benson-hedges-world-series-1991-92-60921/match-schedule-fixtures-and-results,1,series
"England in New Zealand ODI Series, 1991/92",https://www.espncricinfo.com/series/england-in-new-zealand-odi-series-1991-92-60923/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Cup (in Australia/New Zealand), 1991/92",https://www.espncricinfo.com/series/benson-hedges-world-cup-1991-92-60924/match-schedule-fixtures-and-results,1,series
"South Africa in West Indies ODI Series, 1991/92",https://www.espncricinfo.com/series/south-africa-in-west-indies-odi-series-1991-92-60925/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (Pakistan in England), 1992",https://www.espncricinfo.com/series/texaco-trophy-1992-60926/match-schedule-fixtures-and-results,1,series
"Australia in Sri Lanka ODI Series, 1992",https://www.espncricinfo.com/series/australia-in-sri-lanka-odi-series-1992-60927/match-schedule-fixtures-and-results,1,series
"India in Zimbabwe ODI Match, 1992/93",https://www.espncricinfo.com/series/india-in-zimbabwe-odi-match-1992-93-60928/match-schedule-fixtures-and-results,1,series
"New Zealand in Zimbabwe ODI Series, 1992/93",https://www.espncricinfo.com/series/new-zealand-in-zimbabwe-odi-series-1992-93-60929/match-schedule-fixtures-and-results,1,series
"New Zealand in Sri Lanka ODI Series, 1992/93",https://www.espncricinfo.com/series/new-zealand-in-sri-lanka-odi-series-1992-93-60931/match-schedule-fixtures-and-results,1,series
"India in South Africa ODI Series, 1992/93",https://www.espncricinfo.com/series/india-in-south-africa-odi-series-1992-93-60932/match-schedule-fixtures-and-results,1,series
"Pakistan in New Zealand ODI Series, 1992/93",https://www.espncricinfo.com/series/pakistan-in-new-zealand-odi-series-1992-93-60933/match-schedule-fixtures-and-results,1,series
